"","col2","res2","end2"
"1","chr7",2e+05,320000
"2","chr7",320000,840000
"3","chr7",840000,1240000
"4","chr7",1240000,1520000
"5","chr7",1520000,1920000
"6","chr7",1920000,2e+06
"7","chr7",2e+06,2160000
"8","chr7",2160000,2240000
"9","chr7",2240000,2600000
"10","chr7",2600000,2760000
"11","chr7",2760000,3200000
"12","chr7",3200000,3440000
"13","chr7",3440000,3720000
"14","chr7",3720000,3960000
"15","chr7",3960000,4080000
"16","chr7",4080000,4240000
"17","chr7",4240000,4360000
"18","chr7",4360000,4520000
"19","chr7",4520000,4640000
"20","chr7",4640000,5e+06
"21","chr7",5e+06,5080000
"22","chr7",5080000,5640000
"23","chr7",5640000,5760000
"24","chr7",5760000,5880000
"25","chr7",5880000,6480000
"26","chr7",6480000,7e+06
"27","chr7",7e+06,7600000
"28","chr7",7600000,8440000
"29","chr7",8440000,9360000
"30","chr7",9360000,1e+07
"31","chr7",1e+07,10440000
"32","chr7",10440000,10920000
"33","chr7",10920000,11400000
"34","chr7",11400000,12520000
"35","chr7",12520000,13320000
"36","chr7",13320000,14720000
"37","chr7",14720000,16160000
"38","chr7",16160000,16640000
"39","chr7",16640000,17720000
"40","chr7",17720000,18600000
"41","chr7",18600000,19720000
"42","chr7",19720000,20720000
"43","chr7",20720000,21320000
"44","chr7",21320000,21560000
"45","chr7",21560000,21760000
"46","chr7",21760000,22120000
"47","chr7",22120000,22560000
"48","chr7",22560000,22840000
"49","chr7",22840000,23200000
"50","chr7",23200000,23600000
"51","chr7",23600000,24240000
"52","chr7",24240000,24440000
"53","chr7",24440000,24840000
"54","chr7",24840000,25240000
"55","chr7",25240000,25600000
"56","chr7",25600000,25880000
"57","chr7",25880000,26480000
"58","chr7",26480000,26600000
"59","chr7",26600000,26880000
"60","chr7",26880000,27200000
"61","chr7",27200000,27480000
"62","chr7",27480000,27560000
"63","chr7",27560000,28160000
"64","chr7",28160000,28440000
"65","chr7",28440000,28640000
"66","chr7",28640000,28960000
"67","chr7",28960000,29200000
"68","chr7",29200000,29480000
"69","chr7",29480000,29640000
"70","chr7",29640000,29960000
"71","chr7",29960000,30200000
"72","chr7",30200000,30320000
"73","chr7",30320000,30680000
"74","chr7",30680000,30760000
"75","chr7",30760000,3.1e+07
"76","chr7",3.1e+07,31160000
"77","chr7",31160000,31680000
"78","chr7",31680000,32240000
"79","chr7",32240000,32560000
"80","chr7",32560000,33200000
"81","chr7",33200000,3.4e+07
"82","chr7",3.4e+07,35280000
"83","chr7",35280000,35480000
"84","chr7",35480000,35680000
"85","chr7",35680000,35960000
"86","chr7",35960000,36360000
"87","chr7",36360000,36720000
"88","chr7",36720000,36920000
"89","chr7",36920000,3.7e+07
"90","chr7",3.7e+07,37240000
"91","chr7",37240000,37560000
"92","chr7",37560000,37880000
"93","chr7",37880000,38400000
"94","chr7",38400000,38800000
"95","chr7",38800000,39600000
"96","chr7",39600000,40200000
"97","chr7",40200000,40760000
"98","chr7",40760000,41080000
"99","chr7",41080000,41760000
"100","chr7",41760000,4.2e+07
"101","chr7",4.2e+07,42280000
"102","chr7",42280000,42960000
"103","chr7",42960000,43040000
"104","chr7",43040000,43320000
"105","chr7",43320000,43560000
"106","chr7",43560000,4.4e+07
"107","chr7",4.4e+07,44280000
"108","chr7",44280000,44600000
"109","chr7",44600000,45200000
"110","chr7",45200000,45920000
"111","chr7",45920000,46400000
"112","chr7",46400000,46720000
"113","chr7",46720000,47200000
"114","chr7",47200000,47480000
"115","chr7",47480000,47960000
"116","chr7",47960000,48320000
"117","chr7",48320000,4.9e+07
"118","chr7",4.9e+07,49920000
"119","chr7",49920000,50320000
"120","chr7",50320000,50440000
"121","chr7",50440000,50760000
"122","chr7",50760000,51160000
"123","chr7",51160000,51480000
"124","chr7",51480000,51760000
"125","chr7",51760000,52200000
"126","chr7",52200000,53240000
"127","chr7",53240000,54120000
"128","chr7",54120000,54800000
"129","chr7",54800000,55360000
"130","chr7",55360000,55560000
"131","chr7",55560000,55680000
"132","chr7",55680000,55760000
"133","chr7",55760000,56040000
"134","chr7",56040000,56160000
"135","chr7",56160000,56440000
"136","chr7",56440000,56560000
"137","chr7",56560000,56840000
"138","chr7",56840000,56920000
"139","chr7",56920000,57200000
"140","chr7",57200000,57320000
"141","chr7",57320000,57440000
"142","chr7",57440000,57680000
"143","chr7",57680000,57880000
"144","chr7",57880000,61480000
"145","chr7",61480000,61560000
"146","chr7",61560000,6.2e+07
"147","chr7",6.2e+07,62080000
"148","chr7",62080000,62160000
"149","chr7",62160000,62240000
"150","chr7",62240000,62320000
"151","chr7",62320000,62400000
"152","chr7",62400000,62480000
"153","chr7",62480000,62720000
"154","chr7",62720000,64680000
"155","chr7",64680000,64880000
"156","chr7",64880000,64960000
"157","chr7",64960000,65840000
"158","chr7",65840000,65960000
"159","chr7",65960000,66480000
"160","chr7",66480000,66800000
"161","chr7",66800000,67400000
"162","chr7",67400000,67600000
"163","chr7",67600000,68080000
"164","chr7",68080000,68600000
"165","chr7",68600000,68760000
"166","chr7",68760000,69440000
"167","chr7",69440000,7e+07
"168","chr7",7e+07,70080000
"169","chr7",70080000,70240000
"170","chr7",70240000,70720000
"171","chr7",70720000,70880000
"172","chr7",70880000,71200000
"173","chr7",71200000,71520000
"174","chr7",71520000,72080000
"175","chr7",72080000,72440000
"176","chr7",72440000,73320000
"177","chr7",73320000,73840000
"178","chr7",73840000,74160000
"179","chr7",74160000,75120000
"180","chr7",75120000,75400000
"181","chr7",75400000,75960000
"182","chr7",75960000,77560000
"183","chr7",77560000,78920000
"184","chr7",78920000,80040000
"185","chr7",80040000,81120000
"186","chr7",81120000,82400000
"187","chr7",82400000,83560000
"188","chr7",83560000,85480000
"189","chr7",85480000,86560000
"190","chr7",86560000,87800000
"191","chr7",87800000,90040000
"192","chr7",90040000,90720000
"193","chr7",90720000,91440000
"194","chr7",91440000,92760000
"195","chr7",92760000,94040000
"196","chr7",94040000,95520000
"197","chr7",95520000,96720000
"198","chr7",96720000,97480000
"199","chr7",97480000,98040000
"200","chr7",98040000,98480000
"201","chr7",98480000,99080000
"202","chr7",99080000,99680000
"203","chr7",99680000,1e+08
"204","chr7",1e+08,100480000
"205","chr7",100480000,100960000
"206","chr7",100960000,102120000
