N/A	6075	6077
N/A	6073	6074
N/A	6071	6072
N/A	6067	6070
N/A	6065	6066
N/A	6063	6064
N/A	6061	6062
N/A	6058	6060
N/A	6056	6057
N/A	6051	6052
N/A	6047	6048
N/A	6036	6046
N/A	6030	6035
N/A	6028	6029
N/A	6023	6024
N/A	6002	6022
N/A	5999	6001
N/A	5997	5998
N/A	5991	5993
N/A	5989	5990
N/A	5987	5988
N/A	5985	5986
N/A	5980	5981
N/A	5978	5979
N/A	5975	5977
N/A	5973	5974
N/A	5969	5972
N/A	5964	5968
N/A	5951	5963
N/A	5949	5950
N/A	5947	5948
N/A	5944	5946
N/A	5940	5943
N/A	5938	5939
N/A	5936	5937
N/A	5934	5935
N/A	5929	5931
N/A	5925	5926
N/A	5923	5924
N/A	5921	5922
N/A	5918	5920
N/A	5916	5917
N/A	5914	5915
N/A	5911	5913
N/A	5909	5910
N/A	5904	5905
N/A	5902	5903
N/A	5900	5901
N/A	5896	5899
N/A	5894	5895
N/A	5890	5891
N/A	5888	5889
N/A	5886	5887
N/A	5884	5885
N/A	5876	5883
N/A	5874	5875
N/A	5872	5873
N/A	5870	5871
N/A	5867	5869
N/A	5860	5866
N/A	5858	5859
N/A	5855	5857
N/A	5853	5854
N/A	5849	5850
N/A	5846	5848
N/A	5844	5845
N/A	5842	5843
N/A	5840	5841
N/A	5838	5839
N/A	5836	5837
N/A	5834	5835
N/A	5831	5833
N/A	5829	5830
N/A	5827	5828
N/A	0	5826
