N/A	2876	2878
N/A	2874	2875
N/A	2872	2873
N/A	2870	2871
N/A	2868	2869
N/A	2864	2865
N/A	2862	2863
N/A	2857	2858
N/A	2855	2856
N/A	2853	2854
N/A	2850	2852
N/A	2847	2849
N/A	2845	2846
N/A	2843	2844
N/A	2841	2842
N/A	2831	2840
N/A	2828	2830
N/A	2826	2827
N/A	2823	2825
N/A	2821	2822
N/A	2819	2820
N/A	2817	2818
N/A	2815	2816
N/A	2813	2814
N/A	2807	2809
N/A	2805	2806
N/A	2803	2804
N/A	2801	2802
N/A	2799	2800
N/A	2796	2798
N/A	2794	2795
N/A	2792	2793
N/A	2790	2791
N/A	2788	2789
N/A	2786	2787
N/A	2784	2785
N/A	2782	2783
N/A	0	2781
