"","Level_1.chr","Level_1.start","Level_1.end","Level_1.Level"
"1","chr6",160001,560001,1
"2","chr6",600001,840001,1
"3","chr6",880001,1400001,1
"4","chr6",1400001,1600001,1
"5","chr6",1600001,2200001,1
"6","chr6",2200001,2760001,1
"7","chr6",2760001,3080001,1
"8","chr6",3080001,3720001,1
"9","chr6",3720001,4040001,1
"10","chr6",4040001,4240001,1
"11","chr6",4240001,5040001,1
"12","chr6",5040001,5400001,1
"13","chr6",5400001,6000001,1
"14","chr6",6000001,6640001,1
"15","chr6",6640001,7280001,1
"16","chr6",7280001,7640001,1
"17","chr6",7640001,8040001,1
"18","chr6",8040001,8440001,1
"19","chr6",8440001,8920001,1
"20","chr6",8920001,9240001,1
"21","chr6",9240001,9560001,1
"22","chr6",9560001,10000001,1
"23","chr6",10000001,10480001,1
"24","chr6",10480001,10840001,1
"25","chr6",10840001,11080001,1
"26","chr6",11080001,11600001,1
"27","chr6",11600001,12280001,1
"28","chr6",12280001,12640001,1
"29","chr6",12640001,13320001,1
"30","chr6",13320001,13840001,1
"31","chr6",13840001,14200001,1
"32","chr6",14200001,14720001,1
"33","chr6",14720001,15520001,1
"34","chr6",15520001,16320001,1
"35","chr6",16320001,17120001,1
"36","chr6",17120001,17600001,1
"37","chr6",17600001,18200001,1
"38","chr6",18200001,18560001,1
"39","chr6",18560001,19200001,1
"40","chr6",19200001,20080001,1
"41","chr6",20080001,20560001,1
"42","chr6",20560001,21560001,1
"43","chr6",21560001,22080001,1
"44","chr6",22080001,22760001,1
"45","chr6",22760001,23000001,1
"46","chr6",23000001,23440001,1
"47","chr6",23440001,24240001,1
"48","chr6",24400001,24800001,1
"49","chr6",24800001,25240001,1
"50","chr6",25240001,26000001,1
"51","chr6",26000001,26600001,1
"52","chr6",26640001,27080001,1
"53","chr6",27080001,27880001,1
"54","chr6",27880001,28440001,1
"55","chr6",28440001,29040001,1
"56","chr6",29040001,29600001,1
"57","chr6",29600001,30160001,1
"58","chr6",30160001,30640001,1
"59","chr6",30640001,31160001,1
"60","chr6",31160001,31400001,1
"61","chr6",31400001,32160001,1
"62","chr6",32160001,32760001,1
"63","chr6",32760001,33240001,1
"64","chr6",33240001,33680001,1
"65","chr6",33680001,34120001,1
"66","chr6",34120001,34400001,1
"67","chr6",34400001,35240001,1
"68","chr6",35240001,35720001,1
"69","chr6",35720001,36320001,1
"70","chr6",36320001,36720001,1
"71","chr6",36720001,37280001,1
"72","chr6",37280001,37680001,1
"73","chr6",37680001,38040001,1
"74","chr6",38040001,38640001,1
"75","chr6",38640001,38880001,1
"76","chr6",38880001,39320001,1
"77","chr6",39320001,39880001,1
"78","chr6",39880001,40280001,1
"79","chr6",40280001,41040001,1
"80","chr6",41040001,41320001,1
"81","chr6",41320001,41760001,1
"82","chr6",41760001,42040001,1
"83","chr6",42040001,42520001,1
"84","chr6",42520001,42840001,1
"85","chr6",42840001,43560001,1
"86","chr6",43560001,44240001,1
"87","chr6",44240001,44440001,1
"88","chr6",44440001,44960001,1
"89","chr6",44960001,45280001,1
"90","chr6",45280001,45720001,1
"91","chr6",45720001,46040001,1
"92","chr6",46040001,46600001,1
"93","chr6",46600001,47360001,1
"94","chr6",47360001,47760001,1
"95","chr6",48800001,49400001,1
"96","chr6",49400001,50080001,1
"97","chr6",50080001,50760001,1
"98","chr6",50760001,51400001,1
"99","chr6",51400001,52120001,1
"100","chr6",52120001,52960001,1
"101","chr6",52960001,53840001,1
"102","chr6",53840001,54080001,1
"103","chr6",54080001,54520001,1
"104","chr6",54520001,55120001,1
"105","chr6",55120001,55840001,1
"106","chr6",55840001,56160001,1
"107","chr6",56160001,56720001,1
"108","chr6",56720001,57200001,1
"109","chr6",57200001,58080001,1
"110","chr6",61880001,62280001,1
"111","chr6",62280001,62640001,1
"112","chr6",62640001,63040001,1
"113","chr6",63040001,64000001,1
"114","chr6",64000001,64520001,1
"115","chr6",64520001,65120001,1
"116","chr6",65120001,65480001,1
"117","chr6",65480001,66200001,1
"118","chr6",66200001,66520001,1
"119","chr6",66520001,67240001,1
"120","chr6",67240001,67760001,1
"121","chr6",67760001,68320001,1
