"","col2","res2","end2"
"1","chr9",520000,8e+05
"2","chr9",8e+05,1040000
"3","chr9",1040000,1720000
"4","chr9",1720000,2120000
"5","chr9",2120000,2840000
"6","chr9",2840000,3240000
"7","chr9",3240000,3720000
"8","chr9",3720000,4320000
"9","chr9",4320000,4680000
"10","chr9",4680000,5040000
"11","chr9",5040000,5600000
"12","chr9",5600000,5960000
"13","chr9",5960000,6360000
"14","chr9",6360000,6560000
"15","chr9",6560000,6880000
"16","chr9",6880000,7280000
"17","chr9",7280000,7560000
"18","chr9",7560000,8440000
"19","chr9",8440000,9040000
"20","chr9",9040000,1e+07
"21","chr9",1e+07,12680000
"22","chr9",12680000,13120000
"23","chr9",13120000,13440000
"24","chr9",13440000,13880000
"25","chr9",13880000,14080000
"26","chr9",14080000,14400000
"27","chr9",14400000,14800000
"28","chr9",14800000,15160000
"29","chr9",15160000,15520000
"30","chr9",15520000,15880000
"31","chr9",15880000,16160000
"32","chr9",16160000,16640000
"33","chr9",16640000,17040000
"34","chr9",17040000,17520000
"35","chr9",17520000,17800000
"36","chr9",17800000,18240000
"37","chr9",18240000,18520000
"38","chr9",18520000,19040000
"39","chr9",19040000,19480000
"40","chr9",19480000,19920000
"41","chr9",19920000,20600000
"42","chr9",20600000,20960000
"43","chr9",20960000,21160000
"44","chr9",21160000,21480000
"45","chr9",21480000,21760000
"46","chr9",21760000,22520000
"47","chr9",22520000,22840000
"48","chr9",22840000,23040000
"49","chr9",23040000,23480000
"50","chr9",23480000,23840000
"51","chr9",23840000,24200000
"52","chr9",24200000,25080000
"53","chr9",25080000,2.6e+07
"54","chr9",2.6e+07,26680000
"55","chr9",26680000,2.7e+07
"56","chr9",2.7e+07,27320000
"57","chr9",27320000,27560000
"58","chr9",27560000,28080000
"59","chr9",28080000,28720000
"60","chr9",28720000,29240000
"61","chr9",29240000,29720000
"62","chr9",29720000,31120000
"63","chr9",31120000,31840000
"64","chr9",31840000,32360000
"65","chr9",32360000,3.3e+07
"66","chr9",3.3e+07,33240000
"67","chr9",33240000,33600000
"68","chr9",33600000,33920000
"69","chr9",33920000,34320000
"70","chr9",34320000,34640000
"71","chr9",34640000,35080000
"72","chr9",35080000,35600000
"73","chr9",35600000,35880000
"74","chr9",35880000,36200000
"75","chr9",36200000,36400000
"76","chr9",36400000,36720000
"77","chr9",36720000,37120000
"78","chr9",37120000,37400000
"79","chr9",37400000,37840000
"80","chr9",37840000,38400000
"81","chr9",38400000,38600000
"82","chr9",38600000,38720000
"83","chr9",38720000,38800000
"84","chr9",38800000,43440000
"85","chr9",43440000,43520000
"86","chr9",43520000,43640000
"87","chr9",43640000,43720000
"88","chr9",43720000,44040000
"89","chr9",44040000,44120000
"90","chr9",44120000,44200000
"91","chr9",44200000,44280000
"92","chr9",44280000,44720000
"93","chr9",44720000,44840000
"94","chr9",44840000,44920000
"95","chr9",44920000,47160000
"96","chr9",47160000,47240000
"97","chr9",47240000,68200000
"98","chr9",68200000,68280000
"99","chr9",68280000,70920000
"100","chr9",70920000,7.1e+07
"101","chr9",7.1e+07,71640000
"102","chr9",71640000,71880000
"103","chr9",71880000,72560000
"104","chr9",72560000,72920000
"105","chr9",72920000,73240000
"106","chr9",73240000,73880000
"107","chr9",73880000,74400000
"108","chr9",74400000,74880000
"109","chr9",74880000,75440000
"110","chr9",75440000,75800000
"111","chr9",75800000,77320000
"112","chr9",77320000,77880000
"113","chr9",77880000,78480000
"114","chr9",78480000,78960000
"115","chr9",78960000,79360000
"116","chr9",79360000,79760000
"117","chr9",79760000,80400000
"118","chr9",80400000,8.1e+07
"119","chr9",8.1e+07,81920000
"120","chr9",81920000,82760000
"121","chr9",82760000,83640000
"122","chr9",83640000,84720000
"123","chr9",84720000,85600000
"124","chr9",85600000,86480000
"125","chr9",86480000,86960000
"126","chr9",86960000,87880000
"127","chr9",87880000,88560000
"128","chr9",88560000,8.9e+07
"129","chr9",8.9e+07,89960000
"130","chr9",89960000,90560000
"131","chr9",90560000,91200000
"132","chr9",91200000,91960000
"133","chr9",91960000,92880000
"134","chr9",92880000,93680000
"135","chr9",93680000,94200000
"136","chr9",94200000,94840000
"137","chr9",94840000,95640000
"138","chr9",95640000,96400000
"139","chr9",96400000,97320000
"140","chr9",97320000,97960000
"141","chr9",97960000,99080000
"142","chr9",99080000,99600000
"143","chr9",99600000,99880000
"144","chr9",99880000,100400000
"145","chr9",100400000,101080000
"146","chr9",101080000,101560000
"147","chr9",101560000,1.02e+08
"148","chr9",1.02e+08,103360000
"149","chr9",103360000,104160000
"150","chr9",104160000,104400000
"151","chr9",104400000,105920000
"152","chr9",105920000,106880000
"153","chr9",106880000,107520000
"154","chr9",107520000,108520000
"155","chr9",108520000,109400000
"156","chr9",109400000,110120000
"157","chr9",110120000,111600000
"158","chr9",111600000,112320000
"159","chr9",112320000,1.13e+08
"160","chr9",1.13e+08,114120000
"161","chr9",114120000,114480000
"162","chr9",114480000,114840000
"163","chr9",114840000,115680000
"164","chr9",115680000,115880000
"165","chr9",115880000,116440000
"166","chr9",116440000,117080000
"167","chr9",117080000,117800000
"168","chr9",117800000,118320000
"169","chr9",118320000,119440000
"170","chr9",119440000,120240000
"171","chr9",120240000,121280000
"172","chr9",121280000,122280000
"173","chr9",122280000,123320000
"174","chr9",123320000,123960000
"175","chr9",123960000,124840000
"176","chr9",124840000,125760000
"177","chr9",125760000,126160000
"178","chr9",126160000,126880000
"179","chr9",126880000,127320000
"180","chr9",127320000,128200000
"181","chr9",128200000,128720000
"182","chr9",128720000,129240000
"183","chr9",129240000,129640000
"184","chr9",129640000,130200000
"185","chr9",130200000,130960000
"186","chr9",130960000,131400000
"187","chr9",131400000,131840000
"188","chr9",131840000,132560000
"189","chr9",132560000,133320000
"190","chr9",133320000,133920000
"191","chr9",133920000,134640000
"192","chr9",134640000,135160000
"193","chr9",135160000,135880000
"194","chr9",135880000,136400000
"195","chr9",136400000,1.37e+08
"196","chr9",1.37e+08,137400000
"197","chr9",137400000,138400000
"198","chr9",138400000,138840000
"199","chr9",138840000,139240000
"200","chr9",139240000,140200000
"201","chr9",140200000,140720000
"202","chr9",140720000,141080000
"203","chr9",141080000,141240000
"204","chr9",141240000,141240000
