"","col2","res2","end2"
"1","chr21",9440000,9600000
"2","chr21",9600000,10520000
"3","chr21",10520000,10600000
"4","chr21",10600000,10920000
"5","chr21",10920000,11160000
"6","chr21",11160000,14360000
"7","chr21",14360000,14440000
"8","chr21",14440000,14640000
"9","chr21",14640000,14840000
"10","chr21",14840000,1.5e+07
"11","chr21",1.5e+07,15640000
"12","chr21",15640000,16240000
"13","chr21",16240000,17240000
"14","chr21",17240000,1.8e+07
"15","chr21",1.8e+07,18680000
"16","chr21",18680000,1.9e+07
"17","chr21",1.9e+07,19400000
"18","chr21",19400000,20600000
"19","chr21",20600000,22320000
"20","chr21",22320000,24400000
"21","chr21",24400000,25200000
"22","chr21",25200000,26840000
"23","chr21",26840000,27560000
"24","chr21",27560000,28200000
"25","chr21",28200000,29080000
"26","chr21",29080000,30400000
"27","chr21",30400000,31280000
"28","chr21",31280000,31840000
"29","chr21",31840000,32480000
"30","chr21",32480000,3.3e+07
"31","chr21",3.3e+07,33360000
"32","chr21",33360000,33640000
"33","chr21",33640000,34200000
"34","chr21",34200000,34560000
"35","chr21",34560000,34840000
"36","chr21",34840000,35280000
"37","chr21",35280000,35720000
"38","chr21",35720000,36040000
"39","chr21",36040000,36800000
"40","chr21",36800000,3.7e+07
"41","chr21",3.7e+07,37320000
"42","chr21",37320000,37760000
"43","chr21",37760000,38320000
"44","chr21",38320000,39040000
"45","chr21",39040000,39320000
"46","chr21",39320000,39480000
"47","chr21",39480000,39760000
"48","chr21",39760000,40080000
"49","chr21",40080000,40560000
"50","chr21",40560000,41120000
"51","chr21",41120000,41480000
"52","chr21",41480000,42480000
"53","chr21",42480000,42880000
"54","chr21",42880000,43880000
"55","chr21",43880000,44560000
"56","chr21",44560000,45160000
"57","chr21",45160000,45920000
"58","chr21",45920000,46280000
"59","chr21",46280000,46920000
"60","chr21",46920000,47560000
"61","chr21",47560000,48160000
"62","chr21",48160000,48160000
